ID,Category,ISBN,Title,Author,Editon,Description,Price,Genre
202,Classics,9780143039952,The Picture of Dorian Gray,Oscar Wilde,Penguin Classics Deluxe Edition (Reissue Edition),A Gothic tale of beauty and corruption as the handsome young Dorian Gray makes a Faustian pact to remain forever young and handsome while his portrait ages and reflects the true ugliness of his soul.,$14.00,Classics / Horror / Gothic
203,Classics,9780143039846,Dracula,Bram Stoker,Penguin Classics Deluxe Edition (Reissue Edition),The classic horror story of Count Dracula and his attempt to spread the undead curse in Victorian England told through diary entries and letters from the perspective of multiple characters.,$16.00,Classics / Horror / Gothic
204,Classics,9780141439891,Frankenstein,Mary Shelley,Penguin Classics (Reissue Edition),The story of Victor Frankenstein and his creation a monstrous creature who is rejected by society and seeks revenge on his creator.,$9.00,Classics / Horror / Gothic
205,Classics,9780143039983,Jane Eyre,Charlotte Bronte,Penguin Classics Deluxe Edition (Reissue Edition),The story of Jane Eyre an orphan who becomes a governess and falls in love with her employer Mr. Rochester but must overcome many obstacles before they can be together.,$16.00,Classics / Romance / Gothic
206,Classics,9780060956714,The Great Gatsby,F. Scott Fitzgerald,Scribner (Reissue Edition),The story of Jay Gatsby a wealthy and mysterious man who throws lavish parties in hopes of winning back his lost love Daisy Buchanan.,$17.00,Classics / Romance
207,Classics,9780451526348,Great Expectations,Charles Dickens,Signet Classics (Reissue Edition),The story of Pip a young orphan who dreams of becoming a gentleman and winning the heart of the cold and proud Estella.,$5.95,Classics / Bildungsroman
208,Classics,9780143122063,Les Misérables,Victor Hugo,Penguin Classics Deluxe Edition (Reissue Edition),The epic story of Jean Valjean a man who is imprisoned for stealing a loaf of bread and spends his life trying to redeem himself and help others against the backdrop of the French Revolution.,$22.00,Classics / Historical Fiction
209,Classics,9780316769487,The Catcher in the Rye,Jane Austen,Barnes & Noble Classics (Reissue Edition),The classic romantic comedy of manners as Elizabeth Bennet and Mr. Darcy overcome their initial prejudices and misunderstandings to fall in love.,$6.95,Classics / Romance
210,Classics,9780141441160,Sense and Sensibility,Jane Austen,Penguin Classics (Reissue Edition),The story of the Dashwood sisters Elinor and Marianne as they navigate the world of love and marriage in 19th-century England.,$9.00,Classics / Romance
301,Crime,9781409124022,The Neon Rain,Stieg Larsson,Word Horde; First edition (2016),A thriller set in Sweden where journalist Mikael Blomkvist and hacker Lisbeth Salander investigate the disappearance of a wealthy businessman's niece.,$9.99,Thriller / Mystery / Suspense
302,Crime,9780385333849,Mystic River,Dennis Lehane,William Morrow Paperbacks (Reprint Edition),Three childhood friends from a working-class neighborhood in Boston are reunited after one of them's daughter is murdered leading to a complex web of lies secrets and betrayals.,$16.99,Mystery / Suspense / Thriller
303,Crime,9780375725601,"The Devil in the White City""",Gillian Flynn,Broadway Books (Reprint Edition),A psychological thriller about a woman who disappears on her fifth wedding anniversary and the suspicion that falls on her husband who becomes the prime suspect.,$9.99,Mystery / Thriller / Suspense
304,Crime,9780316603964,The Silence of the Lambs,Thomas Harris,St. Martin's Paperbacks (Reprint Edition),FBI trainee Clarice Starling seeks the help of the imprisoned psychiatrist and cannibalistic serial killer Dr. Hannibal Lecter in order to catch another serial killer known as Buffalo Bill.,$9.99,Psychological / Thriller / Suspense / Horror
305,Crime,9780385665832,The Sweetness at the Bottom of the Pie,Dan Brown,Pocket Books (Reprint Edition),A thriller involving symbologist Robert Langdon and cryptologist Sophie Neveu as they unravel a conspiracy related to the Holy Grail the Priory of Sion and the Catholic Church.,$9.99,Thriller / Mystery / Historical Fiction
306,Crime,9780552159713,Angels and Demons,Dan Brown,Corgi Books (Reissue Edition),The first book in the Robert Langdon series in which Langdon is called to investigate the murder of a physicist and a possible connection to the ancient secret society the Illuminati.,$11.99,Thriller / Mystery / Historical Fiction
307,Crime,9780316206849,The Cuckoo's Calling,Paula Hawkins,Word Horde; First edition (2016),A psychological thriller about a woman who becomes entangled in a missing persons case and starts to question her own memories and sanity.,$9.99,Psychological / Thriller / Suspense
308,Crime,9780143121544,The Maltese Falcon,Dashiell Hammett,Penguin Books (Reissue Edition),The classic noir detective novel featuring private detective Sam Spade as he tries to track down the elusive Maltese Falcon and solve a series of murders.,$16.00,Detective Fiction / Mystery / Noir
309,Crime,9780316128662,The Lincoln Lawyer,Michael Connelly,Grand Central Publishing (Reprint Edition),A legal thriller featuring defense attorney Mickey Haller who takes on a high-profile case defending a wealthy client accused of assault and attempted murder.,$9.99,Legal / Thriller / Mystery / Suspense
310,Crime,9780399157065,The Reversal,Michael Connelly,Little Brown and Company (First Edition),In this legal thriller Mickey Haller teams up with his half-brother LAPD detective Harry Bosch to prosecute a high-profile murder case that they previously defended.,$9.99,Legal / Thriller / Mystery / Suspense
401,Fairy tales | fables | folk tales,9780448480902,The Complete Grimm's Fairy Tales,The Brothers Grimm,Grosset & Dunlap (Reprint Edition),"A collection of classic fairy tales including ""Cinderella"" ""Hansel and Gretel"" ""Little Red Riding Hood"" and more.",$14.99,Fairy Tale
402,Fairy tales | fables | folk tales,9780399550560,The Language of Thorns: Midnight Tales and Dangerous Magic,Leigh Bardugo,Imprint (First Edition),A collection of dark fairy tales set in the Grishaverse inspired by myths and folklore from around the world.,$18.99,Fairy Tale Fantasy
403,Fairy tales | fables | folk tales,9780060558888,Aesop's Fables,Aesop,HarperCollins (Reprint Edition),"A collection of fables featuring talking animals with moral lessons such as ""The Tortoise and the Hare"" and ""The Boy Who Cried Wolf.""",$6.99,Fable
404,Fairy tales | fables | folk tales,9780143107288,The Arabian Nights,Anonymous,Penguin Classics (Revised Edition),"A collection of Middle Eastern and South Asian stories and folk tales including ""Ali Baba and the Forty Thieves"" and ""Aladdin's Wonderful Lamp.""",$17.00,Folk Tale
405,Fairy tales | fables | folk tales,9780064401883,The Phantom Tollbooth,Norton Juster,HarperCollins (50th Anniversary Edition),A children's novel featuring a boy named Milo who enters a magical world filled with wordplay and puns.,$8.99,Fantasy / Adventure
406,Fairy tales | fables | folk tales,9780062382641,The Tales of Beedle the Bard,J.K. Rowling,Children's High Level Group (First Edition),"A collection of wizarding fairy tales mentioned in the Harry Potter series including ""The Tale of the Three Brothers.""",$12.99,Fairy Tale / Fantasy
407,Fairy tales | fables | folk tales,9780152052215,The Emperor's New Clothes,Hans Christian Andersen,Harcourt Brace & Company (Reprint Edition),A classic fairy tale in which two weavers promise an emperor a new suit of clothes that is invisible to those who are unfit for their positions but in reality they give him nothing at all.,$7.99,Fairy Tale
408,Fairy tales | fables | folk tales,9780374311534,The Jumbies,Tracey Baptiste,Algonquin Young Readers (First Edition),A children's novel inspired by Caribbean folklore featuring a girl named Corinne who must use her wits to defeat a group of jumbies mischievous spirits from the woods.,$16.95,Folk Tale Fantasy
409,Fairy tales | fables | folk tales,9780698115669,The Mitten,Jan Brett,G.P. Putnam's Sons (Reprint Edition),A children's book based on a Ukrainian folk tale in which a group of animals crowd into a lost mitten for warmth.,$8.99,Folk Tale
410,Fairy tales | fables | folk tales,9780061953385,The Spiderwick Chronicles,Tony DiTerlizzi and Holly Black,Simon & Schuster Books for Young Readers (Reprint Edition),A series of children's books featuring three siblings who discover a world of faeries and other magical creatures in their great-great-uncle's old house.,$11.99,Fantasy / Adventure
501,Fantasy,978055358894X,The Lies of Locke Lamora,J.K. Rowling,Arthur A. Levine Books (15th Anniversary Edition),The first book in the Harry Potter series in which a boy named Harry discovers he is a wizard and attends Hogwarts School of Witchcraft and Wizardry.,$10.99,Fantasy / Adventure
502,Fantasy,9780765356151,The Eye of the World,Robert Jordan,Tor Fantasy (Reprint Edition),The first book in the Wheel of Time series in which a group of young people are drawn into a battle between good and evil as they journey through a world of magic and prophecy.,$9.99,High Fantasy
503,Fantasy,9780007119554,The Fellowship of the Ring,J.R.R. Tolkien,HarperCollins (Revised Edition),The first book in the Lord of the Rings series in which a hobbit named Frodo must journey to destroy a powerful ring that could bring about the end of the world.,$12.99,High Fantasy
504,Fantasy,9780060853983,The Name of the Wind,Patrick Rothfuss,DAW Books (Reprint Edition),The first book in the Kingkiller Chronicle series in which a man named Kvothe tells the story of his life as a legendary wizard and musician.,$9.99,Epic Fantasy
505,Fantasy,9780142415158,Percy Jackson and the Lightning Thief,Rick Riordan,Puffin Books (Reprint Edition),The first book in the Percy Jackson and the Olympians series in which a boy named Percy discovers he is a demigod and embarks on a quest to clear his name and save the world of the Greek gods.,$7.99,Fantasy / Adventure
506,Fantasy,978076531178X,Mistborn,Suzanne Collins,Scholastic Press,The first book in the Hunger Games trilogy in which a teenage girl named Katniss Everdeen is forced to compete in a brutal televised fight to the death against other young people.,$10.99,Dystopian / Fantasy
507,Fantasy,9780765357295,A Game of Thrones,George R.R. Martin,Bantam (Reprint Edition),The first book in the Song of Ice and Fire series in which several noble houses in a medieval-inspired world fight for control of the Iron Throne.,$9.99,High Fantasy
508,Fantasy,9780547739662,The Hobbit,J.R.R. Tolkien,Houghton Mifflin Harcourt (Reprint Edition),A prequel to the Lord of the Rings series in which a hobbit named Bilbo Baggins joins a group of dwarves on a quest to reclaim their treasure from a dragon.,$8.99,High Fantasy
509,Fantasy,9780593352909,Crescent City,Sarah J. Maas,Bloomsbury Publishing (First Edition),A standalone novel in which a half-human half-sidhe woman named Bryce Quinlan must team up with a fallen angel to solve a series of murders in the magical city of Crescent City.,$28.00,Urban / Fantasy
510,Fantasy,9780062315007,The Queen of the Tearling,Erika Johansen,Harper (Reprint Edition),The first book in the Tearling trilogy in which a young queen named Kelsea Raleigh must fight to save her kingdom from invasion and unravel the mystery of its past.,$28.01,Urban / Fantasy
601,Historical fiction,9780743227441,The Other Boleyn Girl,Kristin Hannah,First edition published by St. Martin's Press,Set in France during World War II a story of two sisters' courage,$12.99,War / Romance / Women's Fiction / Drama / Historical Fiction
602,Historical fiction,9780684801469,Memoirs of a Geisha,Arthur Golden,First edition published by Knopf,A novel about a geisha in Japan before and after World War II,$15.99,Romance / Women's Fiction / Drama / Cultural / Historical Fiction
603,Historical fiction,9781400064168,Snow Flower and the Secret Fan,Lisa See,First edition published by Random House,A novel about two women in 19th-century China,$16.00,Women's Fiction / Drama / Cultural / Historical Fiction
604,Historical fiction,9780312300531,The Other Boleyn Girl,Philippa Gregory,First edition published by Touchstone,A historical novel about the Boleyn sisters in Tudor England,$16.99,Romance / Women's Fiction / Drama / Historical Fiction
605,Historical fiction,9780385341005,Water for Elephants,Sara Gruen,First edition published by Algonquin Books,A novel about a young man who joins a traveling circus during the Great Depression,$14.95,Romance / Drama / Historical Fiction
606,Historical fiction,9780679429220,The English Patient,Michael Ondaatje,First edition published by McClelland and Stewart,A novel set in Italy during World War ll,$15.00,War / Romance / Drama / Historical Fiction
607,Historical fiction,9781400060009,The Crimson Petal and the White,Michel Faber,First edition published by Harcourt,A novel set in Victorian England about a prostitute's rise to power,$16.00,Women's Fiction / Drama / Historical Fiction
608,Historical fiction,9781476746583,All the Light We Cannot See,Kathryn Stockett,First edition published by Amy Einhorn Books/Putnam,A novel set in 1960s Mississippi about black maids and their white employers,$16.00,Women's Fiction / Drama / Race / Historical Fiction
609,Historical fiction,9780743227442,Cold Mountain,Charles Frazier,First edition published by Atlantic Monthly Press,A novel set during the American Civil War,$16.00,War / Romance / Drama / Historical Fiction
610,Historical fiction,9780385333840,The Kite Runner,Khaled Hosseini,First edition published by Riverhead Books,A novel set in Afghanistan before and after the Soviet invasion,$16.00,War / Drama / Cultural / Historical Fiction
701,Horror,9780316362383,The Troop,Nick Cutter,Gallery Books; Reprint edition (2015),A group of scouts on a remote camping trip must confront a terrifying force.,$17.00,Horror / Thriller
702,Horror,9780446691921,Heart-Shaped Box,Joe Hill,William Morrow Paperbacks; Reprint edition (2008),An aging rockstar buys a haunted suit on the internet and the ghost that comes with it seeks revenge.,$17.99,Horror / Thriller
703,Horror,9780061147937,The Historian,Elizabeth Kostova,Back Bay Books; Reprint edition (2009),A young woman's investigation of Dracula's life leads her into a dangerous world of supernatural secrets.,$18.99,Horror / Historical Fiction / Mystery
704,Horror,9780765377139,Bird Box,Josh Malerman,Ecco; First Edition edition (2014),A mother and her two children must travel blindfolded in a world where just seeing something can drive you mad.,$17.99,Horror / Post-Apocalyptic
705,Horror,9780765377870,The Fisherman,John Langan,Word Horde; First edition (2016),Two widowers embark on a fishing trip that takes a dark turn when they encounter a mysterious stranger.,$16.99,Horror / Fantasy
706,Horror,9780062654199,The Only Good Indians,Stephen Graham Jones,Gallery/Saga Press; Illustrated edition (2021),Four friends who committed a shameful act in their youth are hunted down by an entity of revenge.,$17.99,Horror / Native American Fiction
707,Horror,9780440206156,The Shining,Stephen King,Anchor; Reissue edition (1982),A family is trapped in a haunted hotel and the father's sanity begins to unravel.,$8.99,Horror / Thriller
708,Horror,9780765326311,NOS4A2,Joe Hill,William Morrow Paperbacks; Reprint edition (2014),A woman with a supernatural ability must confront a man who kidnaps children in his supernatural car.,$18.99,Horror / Thriller / Fantasy
709,Horror,9780399174519,The Hunger,Alma Katsu,G.P. Putnam's Sons; First Edition edition (2018),The tragic story of the Donner Party takes a supernatural turn in this haunting retelling.,$16.00,Horror / Historical Fiction / Thriller
710,Horror,9780525436654,The Silent Companions,Laura Purcell,Penguin Books; Reprint edition (2018),A woman is haunted by a malevolent wooden figure that seems to move on its own.,$16.00,Horror / Gothic Fiction
801,Humour and satire,031621674X,Bossypants,Tina Fey,First Edition; 2011; Reagan Arthur Books,Fey's humorous memoir about her life and career including her time at SNL and 30 Rock.,$13.99,Humor / Memoir
802,Humour and satire,0345477104,The Hitchhiker's Guide to the Galaxy,Douglas Adams,Reprint Edition; 2004; Del Rey,Follows the misadventures of Arthur Dent and an alien Ford Prefect across the galaxy.,$7.99,Science Fiction / Humor
803,Humour and satire,0062223065,Let's Explore Diabetes with Owls,David Sedaris,First Edition; 2013; Little Brown,A collection of essays and observations by David Sedaris.,$10.99,Essays / Humor
804,Humour and satire,0060589061,Lamb: The Gospel According to Biff; Christ's Childhood Pal,Christopher Moore,Reprint Edition; 2004; William Morrow,A humorous retelling of the life of Jesus as told by his best friend Biff.,$9.99,Humor / Fiction
805,Humour and satire,0385474547,A Confederacy of Dunces,John Kennedy Toole,Reprint Edition; 1994; Louisiana State Univ Press,Follows the misadventures of Ignatius J. Reilly in New Orleans.,$14.99,Satire / Fiction
806,Humour and satire,1400066413,The Sellout,Paul Beatty,First Edition; 2015; Farrar; Straus and Giroux,Follows a young black man as he attempts to re-segregate his town.,$12.99,Satire / Fiction
807,Humour and satire,0312427735,A Gate at the Stairs,Lorrie Moore,First Edition; 2009; Knopf,A dark comedy about a college student who becomes a nanny for a mysterious family.,$11.99,Fiction / Satire
808,Humour and satire,0062911232,One More Thing: Stories and Other Stories,B.J. Novak,First Edition; 2014; Knopf,A collection of witty and inventive short stories.,$9.99,Short Stories / Humor
809,Humour and satire,0140280198,The Gun Seller,Hugh Laurie,Reprint Edition; 1998; Penguin,A tongue-in-cheek spy novel about a former soldier turned gun dealer.,$11.99,Fiction / Humor / Thriller
810,Humour and satire,0140289225,High Fidelity,Nick Hornby,Reprint Edition; 2000; Riverhead,Follows the romantic misadventures of record store owner Rob Fleming.,$9.99,Fiction / Humor
901,Literary fiction,9781594483299,The Brief Wondrous Life of Oscar Wao,Khaled Hossein,Riverhead Books; 2003,The story of a young boy from Kabul Afghanistan and his journey to America after the fall of Afghanistan's monarchy and the life he builds in the United States.,$12.99,Literary fiction / Historical fiction
902,Literary fiction,9780679760801,Beloved,Toni Morrison,Vintage Books; 1987,The story of an escaped slave woman in Ohio in 1873 who is haunted by the memory of her former life and her child who she murdered to save from being captured and returned to slavery.,$16.00,Literary fiction / Historical fiction
903,Literary fiction,9780525565084,A Little Life,Hanya Yanagihara,Anchor Books; 2015,The story of four college friends who move to New York City and their lives over the next several decades with a focus on the emotional and physical trauma of one member of the group.,$18.00,Literary fiction
904,Literary fiction,9780375724886,Middlesex,Jeffrey Eugenides,Picador USA; 2002,The story of a Greek-American hermaphrodite and their family history starting in Smyrna Ottoman Empire (now İzmir Turkey) and continuing through the 20th century.,$17.00,Literary fiction / Historical fiction
905,Literary fiction,9780061120060,The Poisonwood Bible,Barbara Kingsolver,Harper Perennial; 1999,The story of a missionary family in the Congo during the 1960s focusing on the experiences of the four daughters and their mother as they struggle with cultural differences and their own personal conflicts.,$16.99,Literary fiction / Historical fiction
906,Literary fiction,9780307278739,The Road,Cormac McCarthy,Vintage Books; 2006,The story of a man and his young son as they journey through a post-apocalyptic world facing starvation illness and danger from other survivors.,$16.00,Literary fiction / Post-apocalyptic fiction
907,Literary fiction,9780312424088,The Brief Wondrous Life of Oscar Wao,Junot Diaz,Riverhead Books; 2007,The story of a Dominican-American boy growing up in New Jersey with a focus on his family history and the curse that seems to follow them.,$18.00,Literary fiction / Historical fiction / Magical realism
908,Literary fiction,9780679444626,The God of Small Things,Arundhati Roy,Random House; 1997,The story of a pair of twins growing up in Kerala India and the tragic events that surround their family.,$27.00,Literary fiction / Historical fiction
909,Literary fiction,9780060919887,The Color Purple,Alice Walker,Harcourt Brace Jovanovich; 1982,The story of a young black woman in rural Georgia in the early 20th century who overcomes abuse and oppression to find her own voice and strength.,$15.99,Literary fiction / Historical fiction
910,Literary fiction,9780812988485,Exit West,Mohsin Hamid,Riverhead Books; 2017,The story of a young couple in an unnamed Middle Eastern country who must flee their home when war breaks out and find themselves transported through a series of mysterious doors to various locations around the world.,$15.10,Literary fiction / Magical realism
1001,Mystery,9780062073501,The Da Vinci Code,Dan Brown,Reprint Edition; 2011; Anchor,Harvard symbologist Robert Langdon is called to the Louvre Museum to investigate the murder of the museum curator. He discovers clues in the paintings of Leonardo da Vinci that lead him on a thrilling treasure hunt across Europe.,$9.99,Mystery / Thriller / Suspense
1002,Mystery,9780345803481,Gone Girl,Gillian Flynn,Reprint Edition; 2014; Broadway Books,On the morning of their fifth wedding anniversary Nick Dunne's wife Amy disappears. As the police investigate and pressure mounts Nick's portrait of a blissful union begins to crumble. Soon his lies deceits and strange behavior have everyone asking the same dark question: Did Nick Dunne kill his wife?,$9.99,Mystery / Thriller / Suspense
1003,Mystery,9780143118401,Tinker Tailor Soldier Spy,John le Carré,Reprint Edition; 2011; Penguin Books,George Smiley is brought out of retirement to investigate a possible Soviet mole in the highest echelons of British Intelligence. As he delves deeper into the murky world of espionage he realizes that he can trust no one.,$17.00,Mystery / Thriller / Espionage
1004,Mystery,9780307474278,The Girl with the Dragon Tattoo,Stieg Larsson,Reprint Edition; 2011; Vintage Crime/Black Lizard,Disgraced journalist Mikael Blomkvist is hired by wealthy businessman Henrik Vanger to solve the 40-year-old murder of his niece. With the help of the enigmatic computer hacker Lisbeth Salander Blomkvist uncovers a web of corruption violence and sexual abuse.,$9.99,Mystery / Thriller / Suspense
1005,Mystery,9780156001314,The Name of the Rose,Lucy Foley,First Edition; 2020; William Morrow,On a remote island off the coast of Ireland a lavish wedding between a TV star and a magazine publisher is disrupted by a storm and a murder. As the guests and the bride and groom's histories and secrets are revealed the killer's identity becomes harder and harder to guess.,$17.00,Mystery / Thriller / Suspense
1006,Mystery,9780143124563,In the Woods,Tana French,Reprint Edition; 2012; Penguin Books,Detective Rob Ryan and his partner Cassie Maddox investigate the murder of a young girl in the same woods where Ryan's two childhood friends disappeared 20 years earlier. As Ryan's memories of that traumatic event resurface he realizes that he may be in more danger than he thought.,$17.00,Mystery / Thriller / Police Procedural
1007,Mystery,9780345806802,The Cuckoo's Calling,Robert Galbraith (J.K. Rowling),Reprint Edition; 2014; Mulholland Books,Private detective Cormoran Strike is hired to investigate the supposed suicide of supermodel Lula Landry. As he delves deeper into the glamorous and cutthroat world of fashion he realizes that the case is far more complicated than he initially thought.,$9.99,Mystery / Thriller / Private Investigator
1008,Mystery,9780007527506,Murder on the Orient Express,Stieg Larsson,Reprint Edition; 2009; Vintage Crime/Black Lizard,A journalist teams up with a young hacker to investigate a decades-old disappearance case involving a wealthy family.,$9.99,Mystery / Thriller / Crime Fiction
1009,Mystery,9780062073488,The Silent Patient,Alex Michaelides,First Edition; 2019; Celadon Books,A psychotherapist tries to uncover the truth behind a patient's shocking crime in which she killed her husband and then stopped speaking.,$14.99,Mystery / Psychological Thriller
1010,Mystery,9780735219090,The Guest List,Lucy Fole,First Edition; 2020; William Morrow,A group of people gather on a remote island for a wedding but the celebration turns into a deadly game of whodunit as secrets are revealed and tensions rise.,$12.99,Mystery / Thriller / Suspense
1101,Poetry,9780393356147,Devotions,Mary Oliver,First edition; 2017; Penguin Press,A collection of new and previously published poems by Mary Oliver one of the most beloved poets of our time.,$16.95,Poetry / Nature
1102,Poetry,9780143133188,The Sun and Her Flowers,Rupi Kaur,Reprint edition; 2018; Andrews McMeel Publishing,"A collection of poems about love loss and healing written by the bestselling author of ""Milk and Honey"".",$16.00,Poetry / Feminism
1103,Poetry,9780062803892,The Divine Comedy,Dante Alighieri,Reprint edition; 2018; Harper Perennial,A classic epic poem about the author's journey through hell purgatory and heaven.,$17.99,Poetry / Classics
1104,Poetry,9780393357441,Wade in the Water,Tracy K. Smith,First edition; 2018; Graywolf Press,A collection of poems that explore themes of race history and spirituality in America.,$16.00,Poetry / African American
1105,Poetry,9780140589292,Selected Poems,Langston Hughes,Reprint edition; 1990; Penguin Classics,A selection of poems by Langston Hughes one of the most important writers of the Harlem Renaissance.,$16.00,Poetry / African American
1106,Poetry,9780525563119,The Carrying: Poems,Ada Limón,First edition; 2018; Milkweed Editions,A collection of poems about love grief and the natural world.,$16.00,Poetry / Nature
1107,Poetry,9780062909082,The Odyssey,Homer,First edition; 2018; Ecco,A classic epic poem about the Greek hero Odysseus' ten-year journey home after the Trojan War.,$16.99,Poetry / Classics
1108,Poetry,9780141183040,Ariel: The Restored Edition,Sylvia Plath,Reprint edition; 2004; Harper Perennial Modern Classics,A collection of poems by Sylvia Plath published posthumously and restored to their original form.,$17.99,Poetry / Confessional
1109,Poetry,9780525565977,The Tradition,Jericho Brown,First edition; 2019; Copper Canyon Press,A collection of poems about race masculinity and violence in America.,$17.00,Poetry / African American
1110,Poetry,9781556594969,Citizen: An American Lyric,Claudia Rankine,Reprint edition; 2014; Graywolf Press,A hybrid poetry/prose work that explores the experience of being black in America.,$20.00,Poetry / Race
1201,Plays,9780143127749,Hamlet,William Shakespeare,Reprint edition; 2014; Penguin Classics,A tragedy about a prince seeking revenge on his uncle for killing his father and taking the throne of Denmark.,$10.00,Plays / Tragedy
1202,Plays,9780486264783,The Importance of Being Earnest,Oscar Wilde,Unabridged edition; 1990; Dover Publications,A comedic play about mistaken identities and social satire.,$4.00,Plays / Comedy
1203,Plays,9780679755333,A Raisin in the Sun,Lorraine Hansberry,Unabridged edition; 2004; Vintage,A drama about an African American family's struggles with poverty and racism in 1950s Chicago.,$12.00,Plays / Drama
1204,Plays,9780486428097,The Cherry Orchard,Anton Chekhov,Unabridged edition; 2001; Dover Publications,A tragicomedy about a Russian aristocratic family struggling to hold onto their estate.,$5.00,Plays / Tragicomedy
1205,Plays,9780141180977,Death of a Salesman,Arthur Miller,Reissue edition; 2000; Penguin Classics,A tragedy about a salesman's disillusionment with the American Dream and his strained relationship with his sons.,$11.00,Plays / Tragedy
1206,Plays,9780811214049,The Glass Menagerie,Tennessee Williams,New Directions Paperbook; 1999; New Directions Publishing,A drama about a family's struggles with disappointment and shattered dreams in Depression-era St. Louis.,$9.00,Plays / Drama / Allegory
1207,Plays,9780679725169,No Exit,Jean-Paul Sartre,Reprint edition; 1989; Vintage International,A play about three people trapped in a room together and the existentialist questions that arise.,$5.00,Plays / Existentialism
1208,Plays,9780141396117,The Merchant of Venice,William Shakespeare,Reprint edition; 2015; Penguin Classics,A play about a merchant in Venice who borrows money from a Jewish moneylender and the consequences that follow.,$8.00,Plays / Comedy / Drama
1209,Plays,9780811218931,Cat on a Hot Tin Roof,Tennessee Williams,First edition; 2017; New Directions,A drama about a Southern family's struggles with mendacity sexual desire and mortality.,$10.00,Plays / Drama / Allegory
1210,Plays,9780142437339,The Crucible,Arthur Miller,Reissue edition; 2003; Penguin Classics,A drama about the Salem witch trials and the danger of groupthink and hysteria.,$9.00,Plays / Drama / Allegory
1301,Romance,9780141439518,Pride and Prejudice,Jane Austen,Reprint edition; 2003; Penguin Classics,A classic novel about the love story between Elizabeth Bennet and Mr. Darcy set in Regency-era England.,$8.00,Romance
1302,Romance,9780385319959,Outlander,Diana Gabaldon,Reprint edition; 2014; Dell,A time-traveling romance novel about a World War II nurse who finds herself in 18th-century Scotland.,$9.00,Romance
1303,Romance,9780340896967,One Day,Nicholas Sparks,1st edition; 1996; Warner Books,A novel about the enduring love between a man and a woman despite the obstacles they face.,$8.00,Romance
1304,Romance,9780143130152,Me Before You,Jojo Moyes,Reprint edition; 2016; Penguin Books,A novel about the relationship between a young woman and a quadriplegic man she cares for as his personal assistant.,$10.00,Romance
1305,Romance,9780525478812,The Fault in Our Stars,John Green,1st edition; 2012; Dutton Books,A young adult novel about the love story between two teenagers who meet at a cancer support group.,$9.00,Romance
1306,Romance,9781476729085,The Rosie Project,Audrey Niffenegger,Reprint edition; 2004; Mariner Books,A novel about a man with a genetic disorder that causes him to time travel and the love story with his wife.,$10.00,Romance
